Wavelength (Angstroms), Normalized intensity, Element
5885.0, 9630, 
5885.002, 9620, 
5885.004, 9609, 
5885.006, 9598, 
5885.008, 9587, 
5885.01, 9575, 
5885.012, 9564, 
5885.014, 9552, 
5885.016, 9539, 
5885.018, 9527, 
5885.02, 9514, 
5885.022, 9501, 
5885.024, 9489, 
5885.026, 9476, 
5885.028, 9464, 
5885.03, 9451, 
5885.032, 9439, 
5885.034, 9427, 
5885.036, 9416, 
5885.038, 9404, 
5885.04, 9394, 
5885.042, 9384, 
5885.044, 9376, 
5885.046, 9369, 
5885.048, 9365, 
5885.05, 9362, 
5885.052, 9359, 
5885.054, 9357, 
5885.056, 9357, 
5885.058, 9359, 
5885.06, 9361, 
5885.062, 9365, 
5885.064, 9369, 
5885.066, 9375, 
5885.068, 9382, 
5885.07, 9390, 
5885.072, 9398, 
5885.074, 9407, 
5885.076, 9417, 
5885.078, 9427, 
5885.08, 9438, 
5885.082, 9450, 
5885.084, 9464, 
5885.086, 9477, 
5885.088, 9490, 
5885.09, 9504, 
5885.092, 9518, 
5885.094, 9533, 
5885.096, 9546, 
5885.098, 9560, 
5885.1, 9573, 
5885.102, 9586, 
5885.104, 9598, 
5885.106, 9611, 
5885.108, 9623, 
5885.11, 9634, 
5885.112, 9645, 
5885.114, 9655, 
5885.116, 9663, 
5885.118, 9672, 
5885.12, 9681, 
5885.122, 9690, 
5885.124, 9698, 
5885.126, 9705, 
5885.128, 9713, 
5885.13, 9720, 
5885.132, 9727, 
5885.134, 9733, 
5885.136, 9738, 
5885.138, 9744, 
5885.14, 9749, 
5885.142, 9754, 
5885.144, 9758, 
5885.146, 9762, 
5885.148, 9766, 
5885.15, 9770, 
5885.152, 9773, 
5885.154, 9776, 
5885.156, 9779, 
5885.158, 9782, 
5885.16, 9784, 
5885.162, 9786, 
5885.164, 9788, 
5885.166, 9790, 
5885.168, 9792, 
5885.17, 9794, 
5885.172, 9795, 
5885.174, 9796, 
5885.176, 9797, 
5885.178, 9798, 
5885.18, 9799, 
5885.182, 9800, 
5885.184, 9801, 
5885.186, 9801, 
5885.188, 9801, 
5885.19, 9802, 
5885.192, 9802, 
5885.194, 9802, 
5885.196, 9802, 
5885.198, 9802, 
5885.2, 9803, 
5885.202, 9803, 
5885.204, 9803, 
5885.206, 9803, 
5885.208, 9803, 
5885.21, 9804, 
5885.212, 9804, 
5885.214, 9805, 
5885.216, 9805, 
5885.218, 9805, 
5885.22, 9806, 
5885.222, 9807, 
5885.224, 9808, 
5885.226, 9809, 
5885.228, 9810, 
5885.23, 9811, 
5885.232, 9812, 
5885.234, 9813, 
5885.236, 9814, 
5885.238, 9815, 
5885.24, 9816, 
5885.242, 9817, 
5885.244, 9818, 
5885.246, 9818, 
5885.248, 9818, 
5885.25, 9818, 
5885.252, 9818, 
5885.254, 9817, 
5885.256, 9817, 
5885.258, 9816, 
5885.26, 9814, 
5885.262, 9814, 
5885.264, 9812, 
5885.266, 9810, 
5885.268, 9809, 
5885.27, 9807, 
5885.272, 9805, 
5885.274, 9804, 
5885.276, 9802, 
5885.278, 9800, 
5885.28, 9797, 
5885.282, 9795, 
5885.284, 9793, 
5885.286, 9790, 
5885.288, 9788, 
5885.29, 9785, 
5885.292, 9782, 
5885.294, 9779, 
5885.296, 9776, 
5885.298, 9772, 
5885.3, 9768, 
5885.302, 9764, 
5885.304, 9760, 
5885.306, 9755, 
5885.308, 9750, 
5885.31, 9745, 
5885.312, 9739, 
5885.314, 9732, 
5885.316, 9726, 
5885.318, 9719, 
5885.32, 9711, 
5885.322, 9704, 
5885.324, 9696, 
5885.326, 9688, 
5885.328, 9680, 
5885.33, 9672, 
5885.332, 9663, 
5885.334, 9654, 
5885.336, 9646, 
5885.338, 9638, 
5885.34, 9629, 
5885.342, 9620, 
5885.344, 9610, 
5885.346, 9601, 
5885.348, 9592, 
5885.35, 9584, 
5885.352, 9575, 
5885.354, 9566, 
5885.356, 9557, 
5885.358, 9548, 
5885.36, 9540, 
5885.362, 9532, 
5885.364, 9525, 
5885.366, 9519, 
5885.368, 9512, 
5885.37, 9507, 
5885.372, 9502, 
5885.374, 9497, 
5885.376, 9494, 
5885.378, 9491, 
5885.38, 9489, 
5885.382, 9489, 
5885.384, 9489, 
5885.386, 9489, 
5885.388, 9490, 
5885.39, 9493, 
5885.392, 9495, 
5885.394, 9499, 
5885.396, 9503, 
5885.398, 9507, 
5885.4, 9512, 
5885.402, 9517, 
5885.404, 9523, 
5885.406, 9529, 
5885.408, 9536, 
5885.41, 9542, 
5885.412, 9549, 
5885.414, 9556, 
5885.416, 9564, 
5885.418, 9571, 
5885.42, 9579, 
5885.422, 9587, 
5885.424, 9595, 
5885.426, 9602, 
5885.428, 9610, 
5885.43, 9618, 
5885.432, 9625, 
5885.434, 9633, 
5885.436, 9640, 
5885.438, 9647, 
5885.44, 9654, 
5885.442, 9661, 
5885.444, 9667, 
5885.446, 9674, 
5885.448, 9680, 
5885.45, 9686, 
5885.452, 9691, 
5885.454, 9697, 
5885.456, 9702, 
5885.458, 9707, 
5885.46, 9712, 
5885.462, 9716, 
5885.464, 9720, 
5885.466, 9723, 
5885.468, 9726, 
5885.47, 9730, 
5885.472, 9733, 
5885.474, 9736, 
5885.476, 9739, 
5885.478, 9742, 
5885.48, 9744, 
5885.482, 9747, 
5885.484, 9750, 
5885.486, 9753, 
5885.488, 9755, 
5885.49, 9758, 
5885.492, 9761, 
5885.494, 9764, 
5885.496, 9767, 
5885.498, 9770, 
5885.5, 9772, 
5885.502, 9775, 
5885.504, 9778, 
5885.506, 9781, 
5885.508, 9784, 
5885.51, 9787, 
5885.512, 9789, 
5885.514, 9792, 
5885.516, 9795, 
5885.518, 9797, 
5885.52, 9800, 
5885.522, 9801, 
5885.524, 9803, 
5885.526, 9804, 
5885.528, 9806, 
5885.53, 9807, 
5885.532, 9808, 
5885.534, 9809, 
5885.536, 9809, 
5885.538, 9810, 
5885.54, 9810, 
5885.542, 9809, 
5885.544, 9809, 
5885.546, 9809, 
5885.548, 9809, 
5885.55, 9808, 
5885.552, 9807, 
5885.554, 9807, 
5885.556, 9806, 
5885.558, 9805, 
5885.56, 9804, 
5885.562, 9803, 
5885.564, 9802, 
5885.566, 9801, 
5885.568, 9800, 
5885.57, 9798, 
5885.572, 9797, 
5885.574, 9796, 
5885.576, 9795, 
5885.578, 9793, 
5885.58, 9792, 
5885.582, 9791, 
5885.584, 9789, 
5885.586, 9787, 
5885.588, 9786, 
5885.59, 9784, 
5885.592, 9782, 
5885.594, 9780, 
5885.596, 9778, 
5885.598, 9776, 
5885.6, 9774, 
5885.602, 9772, 
5885.604, 9771, 
5885.606, 9769, 
5885.608, 9767, 
5885.61, 9766, 
5885.612, 9764, 
5885.614, 9763, 
5885.616, 9762, 
5885.618, 9762, 
5885.62, 9762, 
5885.622, 9762, 
5885.624, 9762, 
5885.626, 9762, 
5885.628, 9763, 
5885.63, 9764, 
5885.632, 9765, 
5885.634, 9766, 
5885.636, 9768, 
5885.638, 9770, 
5885.64, 9772, 
5885.642, 9774, 
5885.644, 9776, 
5885.646, 9778, 
5885.648, 9781, 
5885.65, 9783, 
5885.652, 9785, 
5885.654, 9788, 
5885.656, 9790, 
5885.658, 9793, 
5885.66, 9794, 
5885.662, 9796, 
5885.664, 9798, 
5885.666, 9800, 
5885.668, 9802, 
5885.67, 9803, 
5885.672, 9804, 
5885.674, 9805, 
5885.676, 9806, 
5885.678, 9807, 
5885.68, 9807, 
5885.682, 9808, 
5885.684, 9808, 
5885.686, 9808, 
5885.688, 9808, 
5885.69, 9809, 
5885.692, 9809, 
5885.694, 9809, 
5885.696, 9809, 
5885.698, 9809, 
5885.7, 9809, 
5885.702, 9810, 
5885.704, 9810, 
5885.706, 9810, 
5885.708, 9810, 
5885.71, 9810, 
5885.712, 9810, 
5885.714, 9810, 
5885.716, 9811, 
5885.718, 9811, 
5885.72, 9811, 
5885.722, 9811, 
5885.724, 9811, 
5885.726, 9811, 
5885.728, 9811, 
5885.73, 9811, 
5885.732, 9812, 
5885.734, 9812, 
5885.736, 9812, 
5885.738, 9813, 
5885.74, 9813, 
5885.742, 9813, 
5885.744, 9813, 
5885.746, 9812, 
5885.748, 9812, 
5885.75, 9812, 
5885.752, 9811, 
5885.754, 9811, 
5885.756, 9811, 
5885.758, 9810, 
5885.76, 9810, 
5885.762, 9809, 
5885.764, 9809, 
5885.766, 9808, 
5885.768, 9807, 
5885.77, 9807, 
5885.772, 9807, 
5885.774, 9807, 
5885.776, 9807, 
5885.778, 9807, 
5885.78, 9807, 
5885.782, 9807, 
5885.784, 9807, 
5885.786, 9807, 
5885.788, 9808, 
5885.79, 9808, 
5885.792, 9809, 
5885.794, 9809, 
5885.796, 9810, 
5885.798, 9810, 
5885.8, 9810, 
5885.802, 9811, 
5885.804, 9812, 
5885.806, 9812, 
5885.808, 9812, 
5885.81, 9812, 
5885.812, 9813, 
5885.814, 9813, 
5885.816, 9813, 
5885.818, 9814, 
5885.82, 9814, 
5885.822, 9815, 
5885.824, 9815, 
5885.826, 9815, 
5885.828, 9816, 
5885.83, 9817, 
5885.832, 9817, 
5885.834, 9817, 
5885.836, 9817, 
5885.838, 9818, 
5885.84, 9818, 
5885.842, 9818, 
5885.844, 9818, 
5885.846, 9819, 
5885.848, 9818, 
5885.85, 9818, 
5885.852, 9818, 
5885.854, 9817, 
5885.856, 9817, 
5885.858, 9816, 
5885.86, 9815, 
5885.862, 9814, 
5885.864, 9813, 
5885.866, 9812, 
5885.868, 9810, 
5885.87, 9809, 
5885.872, 9807, 
5885.874, 9806, 
5885.876, 9804, 
5885.878, 9802, 
5885.88, 9801, 
5885.882, 9799, 
5885.884, 9798, 
5885.886, 9796, 
5885.888, 9794, 
5885.89, 9792, 
5885.892, 9790, 
5885.894, 9788, 
5885.896, 9785, 
5885.898, 9782, 
5885.9, 9780, 
5885.902, 9777, 
5885.904, 9774, 
5885.906, 9770, 
5885.908, 9766, 
5885.91, 9762, 
5885.912, 9757, 
5885.914, 9752, 
5885.916, 9746, 
5885.918, 9739, 
5885.92, 9733, 
5885.922, 9726, 
5885.924, 9717, 
5885.926, 9708, 
5885.928, 9698, 
5885.93, 9690, 
5885.932, 9680, 
5885.934, 9667, 
5885.936, 9653, 
5885.938, 9638, 
5885.94, 9623, 
5885.942, 9606, 
5885.944, 9588, 
5885.946, 9568, 
5885.948, 9545, 
5885.95, 9520, 
5885.952, 9492, 
5885.954, 9459, 
5885.956, 9428, 
5885.958, 9403, 
5885.96, 9388, 
5885.962, 9372, 
5885.964, 9357, 
5885.966, 9350, 
5885.968, 9353, 
5885.97, 9365, 
5885.972, 9379, 
5885.974, 9395, 
5885.976, 9415, 
5885.978, 9437, 
5885.98, 9462, 
5885.982, 9488, 
5885.984, 9513, 
5885.986, 9536, 
