Wavelength (Angstroms), Normalized intensity, Element
5168.0, 8024, 
5168.002, 8036, 
5168.004, 8047, 
5168.006, 8058, 
5168.008, 8068, 
5168.01, 8078, 
5168.012, 8088, 
5168.014, 8098, 
5168.016, 8107, 
5168.018, 8116, 
5168.02, 8124, 
5168.022, 8133, 
5168.024, 8141, 
5168.026, 8150, 
5168.028, 8157, 
5168.03, 8165, 
5168.032, 8172, 
5168.034, 8179, 
5168.036, 8186, 
5168.038, 8193, 
5168.04, 8198, 
5168.042, 8204, 
5168.044, 8209, 
5168.046, 8214, 
5168.048, 8218, 
5168.05, 8222, 
5168.052, 8225, 
5168.054, 8229, 
5168.056, 8231, 
5168.058, 8233, 
5168.06, 8236, 
5168.062, 8236, 
5168.064, 8236, 
5168.066, 8237, 
5168.068, 8236, 
5168.07, 8234, 
5168.072, 8231, 
5168.074, 8228, 
5168.076, 8225, 
5168.078, 8221, 
5168.08, 8216, 
5168.082, 8210, 
5168.084, 8205, 
5168.086, 8199, 
5168.088, 8191, 
5168.09, 8184, 
5168.092, 8177, 
5168.094, 8169, 
5168.096, 8159, 
5168.098, 8149, 
5168.1, 8141, 
5168.102, 8131, 
5168.104, 8118, 
5168.106, 8106, 
5168.108, 8094, 
5168.11, 8081, 
5168.112, 8067, 
5168.114, 8051, 
5168.116, 8036, 
5168.118, 8021, 
5168.12, 8005, 
5168.122, 7989, 
5168.124, 7973, 
5168.126, 7957, 
5168.128, 7943, 
5168.13, 7928, 
5168.132, 7915, 
5168.134, 7902, 
5168.136, 7890, 
5168.138, 7879, 
5168.14, 7870, 
5168.142, 7860, 
5168.144, 7851, 
5168.146, 7843, 
5168.148, 7838, 
5168.15, 7834, 
5168.152, 7830, 
5168.154, 7828, 
5168.156, 7826, 
5168.158, 7826, 
5168.16, 7826, 
5168.162, 7827, 
5168.164, 7829, 
5168.166, 7832, 
5168.168, 7835, 
5168.17, 7839, 
5168.172, 7844, 
5168.174, 7849, 
5168.176, 7854, 
5168.178, 7859, 
5168.18, 7864, 
5168.182, 7870, 
5168.184, 7874, 
5168.186, 7880, 
5168.188, 7886, 
5168.19, 7892, 
5168.192, 7898, 
5168.194, 7904, 
5168.196, 7910, 
5168.198, 7916, 
5168.2, 7922, 
5168.202, 7929, 
5168.204, 7935, 
5168.206, 7942, 
5168.208, 7948, 
5168.21, 7956, 
5168.212, 7964, 
5168.214, 7970, 
5168.216, 7978, 
5168.218, 7987, 
5168.22, 7996, 
5168.222, 8004, 
5168.224, 8014, 
5168.226, 8024, 
5168.228, 8033, 
5168.23, 8043, 
5168.232, 8056, 
5168.234, 8067, 
5168.236, 8080, 
5168.238, 8093, 
5168.24, 8107, 
5168.242, 8120, 
5168.244, 8135, 
5168.246, 8150, 
5168.248, 8165, 
5168.25, 8181, 
5168.252, 8197, 
5168.254, 8212, 
5168.256, 8229, 
5168.258, 8245, 
5168.26, 8261, 
5168.262, 8278, 
5168.264, 8294, 
5168.266, 8310, 
5168.268, 8326, 
5168.27, 8343, 
5168.272, 8358, 
5168.274, 8374, 
5168.276, 8390, 
5168.278, 8404, 
5168.28, 8420, 
5168.282, 8435, 
5168.284, 8448, 
5168.286, 8462, 
5168.288, 8475, 
5168.29, 8487, 
5168.292, 8499, 
5168.294, 8511, 
5168.296, 8522, 
5168.298, 8532, 
5168.3, 8543, 
5168.302, 8552, 
5168.304, 8562, 
5168.306, 8572, 
5168.308, 8580, 
5168.31, 8590, 
5168.312, 8598, 
5168.314, 8606, 
5168.316, 8614, 
5168.318, 8623, 
5168.32, 8630, 
5168.322, 8637, 
5168.324, 8645, 
5168.326, 8652, 
5168.328, 8658, 
5168.33, 8665, 
5168.332, 8672, 
5168.334, 8678, 
5168.336, 8684, 
5168.338, 8690, 
5168.34, 8695, 
5168.342, 8700, 
5168.344, 8706, 
5168.346, 8710, 
5168.348, 8714, 
5168.35, 8719, 
5168.352, 8724, 
5168.354, 8727, 
5168.356, 8731, 
5168.358, 8735, 
5168.36, 8738, 
5168.362, 8742, 
5168.364, 8746, 
5168.366, 8750, 
5168.368, 8753, 
5168.37, 8757, 
5168.372, 8760, 
5168.374, 8763, 
5168.376, 8766, 
5168.378, 8769, 
5168.38, 8773, 
5168.382, 8775, 
5168.384, 8777, 
5168.386, 8780, 
5168.388, 8781, 
5168.39, 8782, 
5168.392, 8784, 
5168.394, 8786, 
5168.396, 8786, 
5168.398, 8787, 
5168.4, 8788, 
5168.402, 8788, 
5168.404, 8789, 
5168.406, 8789, 
5168.408, 8789, 
5168.41, 8788, 
5168.412, 8788, 
5168.414, 8789, 
5168.416, 8788, 
5168.418, 8787, 
5168.42, 8787, 
5168.422, 8788, 
5168.424, 8787, 
5168.426, 8786, 
5168.428, 8786, 
5168.43, 8787, 
5168.432, 8785, 
5168.434, 8786, 
5168.436, 8786, 
5168.438, 8787, 
5168.44, 8786, 
5168.442, 8786, 
5168.444, 8787, 
5168.446, 8787, 
5168.448, 8788, 
5168.45, 8789, 
5168.452, 8789, 
5168.454, 8789, 
5168.456, 8790, 
5168.458, 8791, 
5168.46, 8791, 
5168.462, 8792, 
5168.464, 8792, 
5168.466, 8793, 
5168.468, 8793, 
5168.47, 8793, 
5168.472, 8794, 
5168.474, 8793, 
5168.476, 8793, 
5168.478, 8792, 
5168.48, 8792, 
5168.482, 8790, 
5168.484, 8789, 
5168.486, 8787, 
5168.488, 8785, 
5168.49, 8782, 
5168.492, 8779, 
5168.494, 8775, 
5168.496, 8772, 
5168.498, 8767, 
5168.5, 8761, 
5168.502, 8755, 
5168.504, 8748, 
5168.506, 8742, 
5168.508, 8733, 
5168.51, 8725, 
5168.512, 8715, 
5168.514, 8706, 
5168.516, 8695, 
5168.518, 8682, 
5168.52, 8668, 
5168.522, 8652, 
5168.524, 8635, 
5168.526, 8617, 
5168.528, 8598, 
5168.53, 8579, 
5168.532, 8557, 
5168.534, 8534, 
5168.536, 8510, 
5168.538, 8485, 
5168.54, 8460, 
5168.542, 8435, 
5168.544, 8409, 
5168.546, 8382, 
5168.548, 8354, 
5168.55, 8324, 
5168.552, 8294, 
5168.554, 8263, 
5168.556, 8230, 
5168.558, 8196, 
5168.56, 8158, 
5168.562, 8118, 
5168.564, 8071, 
5168.566, 8021, 
5168.568, 7968, 
5168.57, 7911, 
5168.572, 7851, 
5168.574, 7789, 
5168.576, 7724, 
5168.578, 7655, 
5168.58, 7583, 
5168.582, 7505, 
5168.584, 7421, 
5168.586, 7332, 
5168.588, 7238, 
5168.59, 7142, 
5168.592, 7042, 
5168.594, 6934, 
5168.596, 6820, 
5168.598, 6700, 
5168.6, 6580, 
5168.602, 6456, 
5168.604, 6333, 
5168.606, 6204, 
5168.608, 6071, 
5168.61, 5935, 
5168.612, 5796, 
5168.614, 5652, 
5168.616, 5515, 
5168.618, 5382, 
5168.62, 5251, 
5168.622, 5115, 
5168.624, 4979, 
5168.626, 4845, 
5168.628, 4711, 
5168.63, 4582, 
5168.632, 4457, 
5168.634, 4333, 
5168.636, 4215, 
5168.638, 4101, 
5168.64, 3997, 
5168.642, 3890, 
5168.644, 3791, 
5168.646, 3705, 
5168.648, 3625, 
5168.65, 3552, 
5168.652, 3485, 
5168.654, 3431, 
5168.656, 3386, 
5168.658, 3351, 
5168.66, 3328, 
5168.662, 3314, 
5168.664, 3308, 
5168.666, 3317, 
5168.668, 3337, 
5168.67, 3367, 
5168.672, 3415, 
5168.674, 3478, 
5168.676, 3553, 
5168.678, 3640, 
5168.68, 3745, 
5168.682, 3863, 
5168.684, 3997, 
5168.686, 4143, 
5168.688, 4294, 
5168.69, 4449, 
5168.692, 4617, 
5168.694, 4792, 
5168.696, 4974, 
5168.698, 5157, 
5168.7, 5335, 
5168.702, 5509, 
5168.704, 5678, 
5168.706, 5851, 
5168.708, 6017, 
5168.71, 6175, 
5168.712, 6330, 
5168.714, 6474, 
5168.716, 6611, 
5168.718, 6740, 
5168.72, 6861, 
5168.722, 6969, 
5168.724, 7063, 
5168.726, 7157, 
5168.728, 7248, 
5168.73, 7331, 
5168.732, 7408, 
5168.734, 7480, 
5168.736, 7544, 
5168.738, 7603, 
5168.74, 7656, 
5168.742, 7704, 
5168.744, 7747, 
5168.746, 7785, 
5168.748, 7818, 
5168.75, 7848, 
5168.752, 7874, 
5168.754, 7896, 
5168.756, 7913, 
5168.758, 7929, 
5168.76, 7946, 
5168.762, 7959, 
5168.764, 7969, 
5168.766, 7978, 
5168.768, 7983, 
5168.77, 7986, 
5168.772, 7986, 
5168.774, 7984, 
5168.776, 7980, 
5168.778, 7972, 
5168.78, 7963, 
5168.782, 7950, 
5168.784, 7937, 
5168.786, 7920, 
5168.788, 7903, 
5168.79, 7885, 
5168.792, 7860, 
5168.794, 7833, 
5168.796, 7801, 
5168.798, 7766, 
5168.8, 7729, 
5168.802, 7686, 
5168.804, 7638, 
5168.806, 7583, 
5168.808, 7524, 
5168.81, 7459, 
5168.812, 7391, 
5168.814, 7316, 
5168.816, 7234, 
5168.818, 7145, 
5168.82, 7049, 
5168.822, 6944, 
5168.824, 6836, 
5168.826, 6711, 
5168.828, 6571, 
5168.83, 6425, 
5168.832, 6271, 
5168.834, 6105, 
5168.836, 5938, 
5168.838, 5768, 
5168.84, 5586, 
5168.842, 5390, 
5168.844, 5190, 
5168.846, 4987, 
5168.848, 4790, 
5168.85, 4585, 
5168.852, 4377, 
5168.854, 4165, 
5168.856, 3952, 
5168.858, 3748, 
5168.86, 3553, 
5168.862, 3362, 
5168.864, 3178, 
5168.866, 3004, 
5168.868, 2836, 
5168.87, 2681, 
5168.872, 2538, 
5168.874, 2407, 
5168.876, 2290, 
5168.878, 2188, 
5168.88, 2097, 
5168.882, 2012, 
5168.884, 1937, 
5168.886, 1870, 
5168.888, 1813, 
5168.89, 1764, 
5168.892, 1725, 
5168.894, 1695, 
5168.896, 1667, 
5168.898, 1643, 
5168.9, 1625, 
5168.902, 1611, 
5168.904, 1603, 
5168.906, 1599, 
5168.908, 1599, 
5168.91, 1602, Fe  b3 
5168.912, 1611, 
5168.914, 1625, 
5168.916, 1642, 
5168.918, 1663, 
5168.92, 1690, 
5168.922, 1721, 
5168.924, 1755, 
5168.926, 1798, 
5168.928, 1849, 
5168.93, 1910, 
5168.932, 1976, 
5168.934, 2047, 
5168.936, 2125, 
5168.938, 2205, 
5168.94, 2289, 
5168.942, 2379, 
5168.944, 2471, 
5168.946, 2563, 
5168.948, 2652, 
5168.95, 2737, 
5168.952, 2813, 
5168.954, 2881, 
5168.956, 2939, 
5168.958, 2991, 
5168.96, 3033, 
5168.962, 3064, 
5168.964, 3083, 
5168.966, 3089, 
5168.968, 3081, 
5168.97, 3066, 
5168.972, 3039, 
5168.974, 2999, 
5168.976, 2950, 
5168.978, 2895, 
5168.98, 2834, 
5168.982, 2770, 
5168.984, 2703, 
5168.986, 2632, 
5168.988, 2556, 
5168.99, 2480, 
5168.992, 2404, 
5168.994, 2330, 
5168.996, 2258, 
5168.998, 2196, 
5169.0, 2195, 
5169.002, 2133, 
5169.004, 2073, 
5169.006, 2019, 
5169.008, 1971, 
5169.01, 1924, 
5169.012, 1884, 
5169.014, 1848, 
5169.016, 1816, 
5169.018, 1785, 
5169.02, 1760, 
5169.022, 1737, 
5169.024, 1715, 
5169.026, 1696, 
5169.028, 1679, 
5169.03, 1666, 
5169.032, 1655, 
5169.034, 1645, 
5169.036, 1637, 
5169.038, 1633, 
5169.04, 1632, 
5169.042, 1632, 
5169.044, 1634, 
5169.046, 1640, 
5169.048, 1647, 
5169.05, 1658, 
5169.052, 1671, 
5169.054, 1685, 
5169.056, 1702, 
5169.058, 1724, 
5169.06, 1747, 
5169.062, 1774, 
5169.064, 1806, 
5169.066, 1840, 
5169.068, 1878, 
5169.07, 1926, 
5169.072, 1978, 
5169.074, 2036, 
5169.076, 2102, 
5169.078, 2174, 
5169.08, 2254, 
5169.082, 2342, 
5169.084, 2436, 
5169.086, 2533, 
5169.088, 2638, 
5169.09, 2754, 
5169.092, 2877, 
5169.094, 3005, 
5169.096, 3140, 
5169.098, 3278, 
