Wavelength (Angstroms), Normalized intensity, Element
6168.0, 9864, 
6168.002, 9865, 
6168.004, 9865, 
6168.006, 9864, 
6168.008, 9863, 
6168.01, 9864, 
6168.012, 9863, 
6168.014, 9862, 
6168.016, 9862, 
6168.018, 9862, 
6168.02, 9861, 
6168.022, 9860, 
6168.024, 9860, 
6168.026, 9860, 
6168.028, 9859, 
6168.03, 9859, 
6168.032, 9859, 
6168.034, 9858, 
6168.036, 9858, 
6168.038, 9857, 
6168.04, 9856, 
6168.042, 9855, 
6168.044, 9855, 
6168.046, 9854, 
6168.048, 9853, 
6168.05, 9853, 
6168.052, 9853, 
6168.054, 9851, 
6168.056, 9850, 
6168.058, 9850, 
6168.06, 9848, 
6168.062, 9848, 
6168.064, 9848, 
6168.066, 9847, 
6168.068, 9847, 
6168.07, 9846, 
6168.072, 9846, 
6168.074, 9846, 
6168.076, 9845, 
6168.078, 9845, 
6168.08, 9844, 
6168.082, 9844, 
6168.084, 9844, 
6168.086, 9844, 
6168.088, 9844, 
6168.09, 9844, 
6168.092, 9843, 
6168.094, 9842, 
6168.096, 9842, 
6168.098, 9842, 
6168.1, 9841, 
6168.102, 9841, 
6168.104, 9841, 
6168.106, 9840, 
6168.108, 9841, 
6168.11, 9841, 
6168.112, 9840, 
6168.114, 9840, 
6168.116, 9840, 
6168.118, 9839, 
6168.12, 9839, 
6168.122, 9839, 
6168.124, 9839, 
6168.126, 9838, 
6168.128, 9839, 
6168.13, 9839, 
6168.132, 9838, 
6168.134, 9838, 
6168.136, 9838, 
6168.138, 9839, 
6168.14, 9839, 
6168.142, 9839, 
6168.144, 9840, 
6168.146, 9840, 
6168.148, 9841, 
6168.15, 9840, 
6168.152, 9840, 
6168.154, 9840, 
6168.156, 9840, 
6168.158, 9840, 
6168.16, 9840, 
6168.162, 9839, 
6168.164, 9839, 
6168.166, 9839, 
6168.168, 9839, 
6168.17, 9838, 
6168.172, 9838, 
6168.174, 9838, 
6168.176, 9838, 
6168.178, 9837, 
6168.18, 9838, 
6168.182, 9838, 
6168.184, 9837, 
6168.186, 9836, 
6168.188, 9836, 
6168.19, 9836, 
6168.192, 9836, 
6168.194, 9836, 
6168.196, 9835, 
6168.198, 9835, 
6168.2, 9834, 
6168.202, 9834, 
6168.204, 9833, 
6168.206, 9833, 
6168.208, 9833, 
6168.21, 9832, 
6168.212, 9833, 
6168.214, 9833, 
6168.216, 9832, 
6168.218, 9833, 
6168.22, 9833, 
6168.222, 9832, 
6168.224, 9832, 
