Wavelength (Angstroms), Normalized intensity, Element
3964.0, 4680, 
3964.002, 4661, 
3964.004, 4643, 
3964.006, 4626, 
3964.008, 4609, 
3964.01, 4593, 
3964.012, 4581, 
3964.014, 4573, 
3964.016, 4571, 
3964.018, 4571, 
3964.02, 4572, 
3964.022, 4578, 
3964.024, 4590, 
3964.026, 4604, 
3964.028, 4618, 
3964.03, 4633, 
3964.032, 4651, 
3964.034, 4669, 
3964.036, 4688, 
3964.038, 4710, 
3964.04, 4730, 
3964.042, 4749, 
3964.044, 4768, 
3964.046, 4785, 
3964.048, 4802, 
3964.05, 4818, 
3964.052, 4832, 
3964.054, 4845, 
3964.056, 4857, 
3964.058, 4866, 
3964.06, 4876, 
3964.062, 4884, 
3964.064, 4891, 
3964.066, 4898, 
3964.068, 4904, 
3964.07, 4910, 
3964.072, 4914, 
3964.074, 4917, 
3964.076, 4919, 
3964.078, 4921, 
3964.08, 4922, 
3964.082, 4922, 
3964.084, 4922, 
3964.086, 4922, 
3964.088, 4921, 
3964.09, 4919, 
3964.092, 4917, 
3964.094, 4914, 
3964.096, 4912, 
3964.098, 4908, 
3964.1, 4904, 
3964.102, 4899, 
3964.104, 4895, 
3964.106, 4890, 
3964.108, 4883, 
3964.11, 4876, 
3964.112, 4869, 
3964.114, 4860, 
3964.116, 4849, 
3964.118, 4839, 
3964.12, 4826, 
3964.122, 4814, 
3964.124, 4800, 
3964.126, 4782, 
3964.128, 4760, 
3964.13, 4737, 
3964.132, 4711, 
3964.134, 4685, 
3964.136, 4656, 
3964.138, 4626, 
3964.14, 4593, 
3964.142, 4557, 
3964.144, 4515, 
3964.146, 4470, 
3964.148, 4423, 
3964.15, 4372, 
3964.152, 4318, 
3964.154, 4261, 
3964.156, 4205, 
3964.158, 4141, 
3964.16, 4075, 
3964.162, 4012, 
3964.164, 3952, 
3964.166, 3891, 
3964.168, 3829, 
3964.17, 3770, 
3964.172, 3714, 
3964.174, 3660, 
3964.176, 3608, 
3964.178, 3558, 
3964.18, 3515, 
3964.182, 3476, 
3964.184, 3442, 
