Wavelength (Angstroms), Normalized intensity, Element
5871.0, 9887, 
5871.002, 9888, 
5871.004, 9889, 
5871.006, 9889, 
5871.008, 9889, 
5871.01, 9890, 
5871.012, 9891, 
5871.014, 9891, 
5871.016, 9892, 
5871.018, 9893, 
5871.02, 9893, 
5871.022, 9893, 
5871.024, 9894, 
5871.026, 9895, 
5871.028, 9895, 
5871.03, 9896, 
5871.032, 9896, 
5871.034, 9897, 
5871.036, 9897, 
5871.038, 9897, 
5871.04, 9897, 
5871.042, 9897, 
5871.044, 9897, 
5871.046, 9897, 
5871.048, 9897, 
5871.05, 9897, 
5871.052, 9897, 
5871.054, 9897, 
5871.056, 9897, 
5871.058, 9897, 
5871.06, 9896, 
5871.062, 9896, 
5871.064, 9896, 
5871.066, 9896, 
5871.068, 9896, 
5871.07, 9896, 
5871.072, 9895, 
5871.074, 9895, 
5871.076, 9895, 
5871.078, 9894, 
5871.08, 9893, 
5871.082, 9892, 
5871.084, 9891, 
5871.086, 9890, 
5871.088, 9888, 
5871.09, 9888, 
5871.092, 9887, 
5871.094, 9885, 
5871.096, 9884, 
5871.098, 9882, 
5871.1, 9881, 
5871.102, 9880, 
5871.104, 9878, 
5871.106, 9878, 
5871.108, 9876, 
5871.11, 9875, 
5871.112, 9874, 
5871.114, 9873, 
5871.116, 9872, 
5871.118, 9871, 
5871.12, 9871, 
5871.122, 9870, 
5871.124, 9869, 
5871.126, 9869, 
5871.128, 9868, 
5871.13, 9867, 
5871.132, 9866, 
5871.134, 9865, 
5871.136, 9864, 
5871.138, 9863, 
5871.14, 9862, 
5871.142, 9861, 
5871.144, 9859, 
5871.146, 9858, 
5871.148, 9857, 
5871.15, 9856, 
5871.152, 9854, 
5871.154, 9854, 
5871.156, 9853, 
5871.158, 9851, 
5871.16, 9850, 
5871.162, 9849, 
5871.164, 9848, 
5871.166, 9847, 
5871.168, 9847, 
5871.17, 9847, 
5871.172, 9846, 
5871.174, 9847, 
5871.176, 9846, 
5871.178, 9845, 
5871.18, 9845, 
5871.182, 9845, 
5871.184, 9844, 
5871.186, 9843, 
5871.188, 9843, 
5871.19, 9841, 
5871.192, 9840, 
5871.194, 9839, 
5871.196, 9838, 
5871.198, 9836, 
5871.2, 9835, 
5871.202, 9834, 
5871.204, 9831, 
5871.206, 9829, 
5871.208, 9826, 
5871.21, 9824, 
5871.212, 9821, 
5871.214, 9817, 
5871.216, 9814, 
5871.218, 9811, 
5871.22, 9807, 
5871.222, 9803, 
5871.224, 9798, 
5871.226, 9794, 
5871.228, 9789, 
5871.23, 9784, 
5871.232, 9778, 
5871.234, 9771, 
5871.236, 9765, 
5871.238, 9759, 
5871.24, 9753, 
5871.242, 9745, 
5871.244, 9738, 
5871.246, 9731, 
5871.248, 9723, 
5871.25, 9715, 
5871.252, 9706, 
5871.254, 9697, 
5871.256, 9688, 
5871.258, 9679, 
5871.26, 9669, 
5871.262, 9659, 
5871.264, 9649, 
5871.266, 9640, 
5871.268, 9629, 
5871.27, 9618, 
5871.272, 9608, 
5871.274, 9598, 
5871.276, 9588, 
5871.278, 9578, 
5871.28, 9564, 
5871.282, 9553, 
5871.284, 9545, 
5871.286, 9537, 
5871.288, 9531, 
5871.29, 9525, 
5871.292, 9521, 
5871.294, 9518, 
5871.296, 9516, 
5871.298, 9515, 
5871.3, 9516, 
5871.302, 9519, 
5871.304, 9521, 
5871.306, 9525, 
5871.308, 9530, 
5871.31, 9536, 
5871.312, 9543, 
5871.314, 9550, 
