wavelength,intensity,element
6558.0,0.8702,Hydrogen
6558.002,0.87,Hydrogen
6558.004,0.8699,Hydrogen
6558.006,0.8697,Hydrogen
6558.008,0.8696,Hydrogen
6558.01,0.8695,Hydrogen
6558.012,0.8693,Hydrogen
6558.014,0.8692,Hydrogen
6558.016,0.869,Hydrogen
6558.018,0.8689,Hydrogen
6558.02,0.8688,Hydrogen
6558.022,0.8687,Hydrogen
6558.024,0.8686,Hydrogen
6558.026,0.8684,Hydrogen
6558.028,0.8683,Hydrogen
6558.03,0.8681,Hydrogen
6558.032,0.868,Hydrogen
6558.034,0.8679,Hydrogen
6558.036,0.8678,Hydrogen
6558.038,0.8677,Hydrogen
6558.04,0.8675,Hydrogen
6558.042,0.8674,Hydrogen
6558.044,0.8672,Hydrogen
6558.046,0.867,Hydrogen
6558.048,0.8668,Hydrogen
6558.05,0.8666,Hydrogen
6558.052,0.8664,Hydrogen
6558.054,0.8662,Hydrogen
6558.056,0.8659,Hydrogen
6558.058,0.8657,Hydrogen
6558.06,0.8655,Hydrogen
6558.062,0.8652,Hydrogen
6558.064,0.865,Hydrogen
6558.066,0.8647,Hydrogen
6558.068,0.8646,Hydrogen
6558.07,0.8643,Hydrogen
6558.072,0.8641,Hydrogen
6558.074,0.8639,Hydrogen
6558.076,0.8636,Hydrogen
6558.078,0.8633,Hydrogen
6558.08,0.8631,Hydrogen
6558.082,0.8629,Hydrogen
6558.084,0.8627,Hydrogen
6558.086,0.8625,Hydrogen
6558.088,0.8623,Hydrogen
6558.09,0.8621,Hydrogen
6558.092,0.8619,Hydrogen
6558.094,0.8617,Hydrogen
6558.096,0.8616,Hydrogen
6558.098,0.8615,Hydrogen
6558.1,0.8613,Hydrogen
6558.102,0.8611,Hydrogen
6558.104,0.8609,Hydrogen
6558.106,0.8607,Hydrogen
6558.108,0.8605,Hydrogen
6558.11,0.8603,Hydrogen
6558.112,0.86,Hydrogen
6558.114,0.8597,Hydrogen
6558.116,0.8594,Hydrogen
6558.118,0.8591,Hydrogen
6558.12,0.8588,Hydrogen
6558.122,0.8585,Hydrogen
6558.124,0.8581,Hydrogen
6558.126,0.8577,Hydrogen
6558.128,0.8572,Hydrogen
6558.13,0.8567,Hydrogen
6558.132,0.8563,Hydrogen
6558.134,0.8558,Hydrogen
6558.136,0.8553,Hydrogen
6558.138,0.8547,Hydrogen
6558.14,0.8542,Hydrogen
6558.142,0.8537,Hydrogen
6558.144,0.8531,Hydrogen
6558.146,0.8527,Hydrogen
6558.148,0.8522,Hydrogen
6558.15,0.8518,Hydrogen
6558.152,0.8514,Hydrogen
6558.154,0.8511,Hydrogen
6558.156,0.8508,Hydrogen
6558.158,0.8506,Hydrogen
6558.16,0.8505,Hydrogen
6558.162,0.8504,Hydrogen
6558.164,0.8504,Hydrogen
6558.166,0.8505,Hydrogen
6558.168,0.8507,Hydrogen
