wavelength,intensity,element
5877.62,0.9797,Helium
6567.916,0.8716,Hydrogen
5874.22,0.9901,Helium
5873.534,0.985,Helium
6562.722,0.1648,Hydrogen
5875.66,0.9792,Helium
6560.296,0.786,Hydrogen
5873.58,0.9839,Helium
5877.696,0.9669,Helium
6561.092,0.7329,Hydrogen
5876.698,0.987,Helium
5876.988,0.9904,Helium
5872.834,0.9814,Helium
5875.022,0.9859,Helium
6565.062,0.7721,Hydrogen
5171.996,0.6661,Magnesium
5871.604,0.9877,Helium
6559.66,0.8068,Hydrogen
6562.756,0.162,Hydrogen
5879.738,0.9789,Helium
6562.376,0.3155,Hydrogen
6561.034,0.7439,Hydrogen
6563.05,0.1925,Hydrogen
5877.906,0.9803,Helium
5875.936,0.9872,Helium
6559.978,0.8115,Hydrogen
6567.94,0.8723,Hydrogen
6559.912,0.8146,Hydrogen
5880.076,0.9422,Helium
6562.104,0.5682,Hydrogen
5877.044,0.9886,Helium
6567.928,0.8719,Hydrogen
6567.716,0.8666,Hydrogen
6565.194,0.7799,Hydrogen
5876.418,0.978,Helium
6560.382,0.7842,Hydrogen
6560.514,0.7142,Hydrogen
6561.792,0.6574,Hydrogen
6558.328,0.8653,Hydrogen
6567.114,0.853,Hydrogen
5875.018,0.9862,Helium
6563.15,0.2382,Hydrogen
5879.536,0.9387,Helium
5872.144,0.9888,Helium
5171.798,0.7305,Magnesium
5876.122,0.9724,Helium
5872.77,0.9824,Helium
5876.656,0.9862,Helium
5875.438,0.981,Helium
5872.918,0.9769,Helium
6565.318,0.7859,Hydrogen
6564.404,0.7233,Hydrogen
6560.074,0.8052,Hydrogen
6559.004,0.8491,Hydrogen
6565.642,0.8006,Hydrogen
6562.13,0.5536,Hydrogen
6567.952,0.8728,Hydrogen
6562.408,0.286,Hydrogen
6566.214,0.8257,Hydrogen
6560.71,0.7561,Hydrogen
6559.042,0.8484,Hydrogen
6563.584,0.5921,Hydrogen
5876.426,0.9776,Helium
5176.778,0.9092,Magnesium
6559.038,0.8487,Hydrogen
6567.192,0.8528,Hydrogen
5876.332,0.9698,Helium
6567.448,0.8585,Hydrogen
6560.796,0.7608,Hydrogen
5878.518,0.9875,Helium
3967.962,0.0918,Calcium
5880.886,0.9851,Helium
5873.6,0.9853,Helium
5879.548,0.9493,Helium
5874.08,0.9883,Helium
6564.518,0.734,Hydrogen
6561.934,0.6285,Hydrogen
6563.824,0.6543,Hydrogen
5874.514,0.9876,Helium
6567.332,0.8578,Hydrogen
6565.024,0.7693,Hydrogen
5872.37,0.9895,Helium
5874.182,0.9894,Helium
5880.478,0.9872,Helium
5174.948,0.9244,Magnesium
6566.214,0.8257,Hydrogen
6559.79,0.8099,Hydrogen
5877.092,0.9885,Helium
6563.462,0.5261,Hydrogen
5880.508,0.9883,Helium
6560.752,0.7601,Hydrogen
5875.98,0.9871,Helium
6560.486,0.7448,Hydrogen
6561.008,0.7466,Hydrogen
6565.512,0.7748,Hydrogen
6558.996,0.8493,Hydrogen
6561.598,0.6871,Hydrogen
6567.488,0.8616,Hydrogen
5874.694,0.9879,Helium
5872.238,0.9864,Helium
5874.526,0.9872,Helium
6562.686,0.1695,Hydrogen
5874.226,0.9902,Helium
5876.892,0.9901,Helium
6559.464,0.829,Hydrogen
6561.448,0.7053,Hydrogen
6565.362,0.784,Hydrogen
5871.29,0.9525,Helium
5871.018,0.9893,Helium
5879.97,0.9517,Helium
6565.812,0.8087,Hydrogen
5877.796,0.8318,Helium
5873.486,0.9878,Helium
6562.978,0.174,Hydrogen
6564.528,0.735,Hydrogen
6559.148,0.8452,Hydrogen
6565.956,0.8141,Hydrogen
5879.76,0.979,Helium
3965.55,0.2731,Calcium
6564.074,0.6783,Hydrogen
5875.076,0.9783,Helium
6566.946,0.8462,Hydrogen
5874.12,0.9893,Helium
6175.974,0.9851,Iron
6563.252,0.3261,Hydrogen
5872.87,0.9807,Helium
5878.608,0.9864,Helium
6558.978,0.8499,Hydrogen
6560.728,0.758,Hydrogen
5169.418,0.9097,Magnesium
6560.548,0.678,Hydrogen
6558.748,0.8572,Hydrogen
5171.962,0.6827,Magnesium
6560.916,0.7539,Hydrogen
6172.726,0.9706,Iron
6174.208,0.9905,Iron
5875.146,0.9739,Helium
6565.204,0.7805,Hydrogen
5873.042,0.9688,Helium
5877.95,0.9849,Helium
5872.592,0.9906,Helium
5879.072,0.9831,Helium
6561.146,0.7311,Hydrogen
6563.902,0.666,Hydrogen
6558.604,0.8576,Hydrogen
6566.698,0.8395,Hydrogen
5875.128,0.9735,Helium
6566.342,0.8294,Hydrogen
6567.906,0.8715,Hydrogen
6563.978,0.6728,Hydrogen
6566.728,0.8406,Hydrogen
6562.316,0.3797,Hydrogen
5878.4,0.99,Helium
5873.662,0.9802,Helium
6176.122,0.9866,Iron
6564.636,0.7433,Hydrogen
5878.346,0.9894,Helium
5876.486,0.9808,Helium
5876.416,0.9782,Helium
6564.038,0.6741,Hydrogen
5878.152,0.9843,Helium
6564.172,0.6846,Hydrogen
6563.638,0.6121,Hydrogen
5872.876,0.9802,Helium
5878.112,0.982,Helium
6559.66,0.8068,Hydrogen
5876.116,0.9719,Helium
6563.656,0.6173,Hydrogen
